frame,id,x,y
3,1,8.69089381,1.156064873
3,2,12.30798466,4.669079439
3,3,3.8567134,3.250870248
3,4,7.270078649,5.185584053
4,1,8.719375909,1.156004178
4,2,12.3610693,4.717938921
4,3,3.832311994,3.250783605
4,4,7.290990464,5.141353398
5,1,8.747862374,1.155943473
5,2,12.39069009,4.766305875
5,3,3.832311994,3.250783605
5,4,7.290990464,5.141353398
6,1,8.810276317,1.08042909
6,2,12.41380736,4.76647941
6,3,3.832311994,3.250783605
6,4,7.290146328,5.096638353
7,1,8.844498475,1.004310269
7,2,12.48317626,4.767000143
7,3,3.8217867,3.307822471
7,4,7.288441169,5.006313795
8,1,8.867526456,1.080295484
8,2,12.50630492,4.767173763
8,3,3.807913833,3.250696974
8,4,7.309696584,4.960878219
9,1,8.896158137,1.080228666
9,2,12.54669026,4.719308518
9,3,3.807913833,3.250696974
9,4,7.309696584,4.960878219
10,1,8.924794226,1.080161837
10,2,12.59312418,4.719651129
10,3,3.783518918,3.250610355
10,4,7.308105779,4.8687212
11,1,8.947389936,1.155518281
11,2,12.6750946,4.622891792
11,3,3.783518918,3.250610355
11,4,7.307302312,4.822175562
12,1,8.975911358,1.155457502
12,2,12.72187997,4.623224872
12,3,3.769452031,3.19306118
12,4,7.307302312,4.822175562
13,1,8.998199166,1.230186893
13,2,12.76867699,4.623558034
13,3,3.769452031,3.19306118
13,4,7.304033402,4.632804153
14,1,9.026606834,1.230132067
14,2,12.79716675,4.67262568
14,3,3.769452031,3.19306118
14,4,7.278640851,4.487177695
15,1,9.083435187,1.230022388
15,2,12.89522479,4.721880167
15,3,3.783518918,3.250610355
15,4,7.254754748,4.437862335
16,1,9.133488395,1.304095223
16,2,13.03055906,4.674317618
16,3,3.783518918,3.250610355
16,4,7.227375683,4.237622101
17,1,9.190108164,1.303997232
17,2,13.10063329,4.674825609
17,3,3.783518918,3.250610355
17,4,7.226250173,4.186716795
18,1,9.211327708,1.377518727
18,2,13.14736395,4.675164375
18,3,3.783518918,3.250610355
18,4,7.223975119,4.083819161
19,1,9.267731861,1.377432254
19,2,13.23728909,4.626894227
19,3,3.783518918,3.250610355
19,4,7.199217846,4.031686211
20,1,9.32415311,1.377345755
20,2,13.32787843,4.578267555
20,3,3.783518918,3.250610355
20,4,7.221667444,3.979446187
21,1,9.380591464,1.377259231
21,2,13.39549566,4.52911828
21,3,3.769452031,3.19306118
21,4,7.244281457,3.926823574
22,1,9.400941641,1.450204584
22,2,13.50839632,4.429580347
22,3,3.769452031,3.19306118
22,4,7.243192531,3.873690026
23,1,9.429051571,1.450166997
23,2,13.57987403,4.430051396
23,3,3.783518918,3.250610355
23,4,7.242095714,3.820171399
24,1,9.493519514,1.377086102
24,2,13.64917569,4.379806535
24,3,3.783518918,3.250610355
24,4,7.265033569,3.766381548
25,1,9.550009227,1.376999498
25,2,13.67521987,4.430679739
25,3,3.744970108,3.192978089
25,4,7.266051307,3.820292514
26,1,9.578260508,1.376956187
26,2,13.7229109,4.43099403
26,3,3.744970108,3.192978089
26,4,7.288141888,3.712191953
27,1,9.617178424,1.522322657
27,2,13.74861838,4.481525891
27,3,3.769452031,3.19306118
27,4,7.284322615,3.490937408
28,1,9.636396875,1.59410755
28,2,13.81993855,4.482005435
28,3,3.755279562,3.135080054
28,4,7.281383041,3.320644792
29,1,9.692222384,1.594054508
29,2,13.89128573,4.48248516
29,3,3.741000316,3.076662096
29,4,7.305250721,3.263115033
30,1,9.711056887,1.665261175
30,2,13.98542754,4.432724054
30,3,3.712116634,2.958495786
30,4,7.3043424,3.205058442
31,1,9.775992017,1.593974915
31,2,14.03319715,4.433038863
31,3,3.707832267,2.838582495
31,4,7.328481142,3.146642951
32,1,9.803923596,1.593948376
32,2,14.0570865,4.433196297
32,3,3.743378727,2.778014361
32,4,7.328481142,3.146642951
33,1,9.850127662,1.665155613
33,2,14.08097887,4.433353752
33,3,3.779209069,2.716962515
33,4,7.352806815,3.087775086
34,1,9.905785035,1.665113366
34,2,14.10487427,4.433511226
34,3,3.789976924,2.655372267
34,4,7.376675452,2.968591211
35,1,9.951401497,1.735759574
35,2,14.08167702,4.483765317
35,3,3.815326708,2.655421139
35,4,7.37602433,2.908272143
36,1,10.0345935,1.735712192
