frame,x,y
21,6.509192332,1.59707883
22,6.404203811,1.667771249
23,6.322284105,1.66783343
24,6.191437543,1.737901047
25,6.088799985,1.807332014
26,5.974218867,1.738024763
27,5.892827744,1.738071119
28,5.818584424,1.807435129
29,5.710608944,1.807476332
30,5.602696664,1.807517512
31,5.486410117,1.738302592
32,5.405234023,1.738348826
33,5.306263314,1.807630631
34,5.206344971,1.668680486
35,5.097833793,1.668762852
36,5.020638368,1.876343785
37,4.940331596,1.876359461
38,4.84431322,1.944389126
39,4.76441112,1.944389951
40,4.657928965,1.94439105
41,4.563595671,2.011797941
42,4.457662469,2.011779609
43,4.378252628,2.011765866
44,4.27242621,2.011747553
45,4.152979583,1.944396261
46,4.059264587,1.876531444
47,3.979376763,1.876547038
72,3.741698505,2.33988479
73,3.715853626,2.339857188
74,3.715853626,2.339857188
75,3.715853626,2.339857188
76,3.715853626,2.339857188
77,3.69001239,2.339829589
89,3.713948589,2.65522569
90,3.713948589,2.65522569
108,6.044948199,3.541508793
109,6.171241131,3.597397537
110,6.29211198,3.597937475
111,6.388865658,3.598369679
112,6.521160395,3.762728961
113,6.613591179,3.708978673
114,6.715855746,3.817510832
115,6.814073176,3.871458463
116,6.933173192,3.872077823
117,7.030368649,3.925680463
118,7.149178574,3.926315362
119,7.245362575,3.979576185
120,7.340173435,3.980096344
121,7.459375803,4.085176985
122,7.553592413,4.137390928
123,7.694020164,4.189544942
124,7.787716033,4.190111429
125,7.881459275,4.190678202
126,7.953240201,4.139751877
127,8.045624051,4.191670746
132,8.633503311,4.496467392
133,8.799263499,4.44824733
133,8.702659549,4.496941566
134,8.910282768,4.498365147
135,9.020601321,4.548166637
136,9.107276719,4.597491404
137,9.245013501,4.598471994
138,9.353623784,4.647662306
139,9.461554776,4.696544964
140,9.56881283,4.745122843
141,9.698110978,4.793572131
142,9.803977982,4.841551321
143,9.917233442,4.842430254
144,10.02212839,4.890124777
145,10.13513422,4.891015974
146,10.23906628,4.938428252
147,10.34235986,4.985549265
148,10.44502083,5.032381687
149,10.55714909,5.033307672
150,10.65887136,5.079865251
151,10.75997424,5.126139342
152,10.87154703,5.127087951
153,10.99398806,5.173283893
154,11.09350039,5.219011511
155,11.19241206,5.264463117
